Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor
Petunia axillaris,Petunia axillaris,5,pet_axi_5,yes,yes,yes,yes,yes,yes,0.0038,yes,yes,37,field,72,14,1008
Phalaris arundinacea,Phalaris arundinacea,1,pha_aru_1,yes,yes,yes,yes,yes,yes,0.0055,yes,yes,39,field,78,4,312
Phalaris arundinacea,Phalaris arundinacea,2,pha_aru_2,yes,yes,yes,yes,yes,yes,0.0052,yes,yes,7,field,36,3,108
Phalaris arundinacea,Phalaris arundinacea,3,pha_aru_3,yes,yes,yes,yes,yes,yes,0.0109,yes,yes,69,field,67,4,268
Phalaris arundinacea,Phalaris arundinacea,4,pha_aru_4,yes,yes,yes,yes,yes,yes,0.0094,yes,yes,88,field,85,7,595
Phalaris arundinacea,Phalaris arundinacea,5,pha_aru_5,yes,yes,yes,yes,yes,yes,0.0147,yes,yes,70,field,67,2,134
Phalaris arundinacea,Phalaris arundinacea,6,pha_aru_6,yes,yes,yes,yes,yes,yes,0.0104,yes,yes,86,field,87,7,609
Phalaris arundinacea,Phalaris arundinacea,7,pha_aru_7,yes,yes,yes,yes,yes,yes,0.0227,yes,yes,93,field,75,9,675
Poa pratensis,Poa pratensis,1,poa_pra_1,yes,yes,yes,yes,yes,yes,0.0017,yes,yes,43,field,32,6,192
Polygonum scoparium,Polygonum scoparium,1,pol_sco_1,yes,yes,yes,yes,yes,yes,0.0119,yes,yes,23,field,24,4,96
Polygonum scoparium,Polygonum scoparium,2,pol_sco_2,yes,yes,yes,yes,yes,yes,0.0017,yes,yes,20,field,67,3,201
Polygonum scoparium,Polygonum scoparium,3,pol_sco_3,yes,yes,yes,yes,yes,yes,0.0039,yes,yes,8,field,11,2,22
Polygonum scoparium,Polygonum scoparium,4,pol_sco_4,yes,yes,yes,yes,yes,yes,0.0026,yes,yes,15,field,52,5,260
Polygonum scoparium,Polygonum scoparium,5,pol_sco_5,yes,yes,yes,yes,yes,yes,0.0037,yes,yes,65,field,11,7,77
Pontechium maculatum,Pontechium maculatum,1,pon_mac_1,yes,yes,yes,yes,yes,yes,0.003,yes,yes,21,field,16,15,240
Pontechium maculatum,Pontechium maculatum,2,pon_mac_2,yes,yes,yes,yes,yes,yes,0.0009,yes,yes,37,field,53,13,689
Pontechium maculatum,Pontechium maculatum,3,pon_mac_3,yes,yes,yes,yes,yes,yes,0.0013,yes,yes,65,field,16,16,256
Pontechium maculatum,Pontechium maculatum,4,pon_mac_4,yes,yes,yes,yes,yes,yes,0.0018,yes,yes,49,field,14,17,238
Pontechium maculatum,Pontechium maculatum,5,pon_mac_5,yes,yes,yes,yes,yes,yes,0.0026,yes,yes,42,field,28,15,420
Potentilla recta,Potentilla recta,1,pot_rec_1,yes,yes,yes,yes,yes,yes,0.0154,yes,yes,79,field,0,0,0
Potentilla recta,Potentilla recta,2,pot_rec_2,yes,yes,yes,yes,yes,yes,0.0191,yes,yes,91,field,35,6,210
Potentilla recta,Potentilla recta,3,pot_rec_3,yes,yes,yes,yes,yes,yes,0.0249,yes,yes,65,field,19,5,95
Potentilla recta,Potentilla recta,4,pot_rec_4,yes,yes,yes,yes,yes,yes,0.0087,yes,yes,68,field,17,3,51
Potentilla recta,Potentilla recta,5,pot_rec_5,yes,yes,yes,yes,yes,yes,0.0304,yes,yes,86,field,20,15,300
